pais;nombre;apellido;numero_camiseta;cantidad_goles;minutos_jugados;cantidad_asistencias;cantidad_amarillas;cantidad_rojas;faltas_acumuladas
France;Nombre1;Apellido1;1;0;0;0;0;0;0
France;Nombre2;Apellido2;2;0;0;0;0;0;0
France;Nombre3;Apellido3;3;0;0;0;0;0;0
France;Nombre4;Apellido4;4;0;0;0;0;0;0
France;Nombre5;Apellido5;5;0;0;0;0;0;0
France;Nombre6;Apellido6;6;0;0;0;0;0;0
France;Nombre7;Apellido7;7;0;0;0;0;0;0
France;Nombre8;Apellido8;8;0;0;0;0;0;0
France;Nombre9;Apellido9;9;0;0;0;0;0;0
France;Nombre10;Apellido10;10;0;0;0;0;0;0
France;Nombre11;Apellido11;11;0;0;0;0;0;0
France;Nombre12;Apellido12;12;0;0;0;0;0;0
France;Nombre13;Apellido13;13;0;0;0;0;0;0
France;Nombre14;Apellido14;14;0;0;0;0;0;0
France;Nombre15;Apellido15;15;0;0;0;0;0;0
France;Nombre16;Apellido16;16;0;0;0;0;0;0
France;Nombre17;Apellido17;17;0;0;0;0;0;0
France;Nombre18;Apellido18;18;0;0;0;0;0;0
France;Nombre19;Apellido19;19;0;0;0;0;0;0
France;Nombre20;Apellido20;20;0;0;0;0;0;0
France;Nombre21;Apellido21;21;0;0;0;0;0;0
France;Nombre22;Apellido22;22;0;0;0;0;0;0
France;Nombre23;Apellido23;23;0;0;0;0;0;0
France;Nombre24;Apellido24;24;0;0;0;0;0;0
France;Nombre25;Apellido25;25;0;0;0;0;0;0
France;Nombre26;Apellido26;26;0;0;0;0;0;0
Spain;Nombre1;Apellido1;1;0;0;0;0;0;0
Spain;Nombre2;Apellido2;2;0;0;0;0;0;0
Spain;Nombre3;Apellido3;3;0;0;0;0;0;0
Spain;Nombre4;Apellido4;4;0;0;0;0;0;0
Spain;Nombre5;Apellido5;5;0;0;0;0;0;0
Spain;Nombre6;Apellido6;6;0;0;0;0;0;0
Spain;Nombre7;Apellido7;7;0;0;0;0;0;0
Spain;Nombre8;Apellido8;8;0;0;0;0;0;0
Spain;Nombre9;Apellido9;9;0;0;0;0;0;0
Spain;Nombre10;Apellido10;10;0;0;0;0;0;0
Spain;Nombre11;Apellido11;11;0;0;0;0;0;0
Spain;Nombre12;Apellido12;12;0;0;0;0;0;0
Spain;Nombre13;Apellido13;13;0;0;0;0;0;0
Spain;Nombre14;Apellido14;14;0;0;0;0;0;0
Spain;Nombre15;Apellido15;15;0;0;0;0;0;0
Spain;Nombre16;Apellido16;16;0;0;0;0;0;0
Spain;Nombre17;Apellido17;17;0;0;0;0;0;0
Spain;Nombre18;Apellido18;18;0;0;0;0;0;0
Spain;Nombre19;Apellido19;19;0;0;0;0;0;0
Spain;Nombre20;Apellido20;20;0;0;0;0;0;0
Spain;Nombre21;Apellido21;21;0;0;0;0;0;0
Spain;Nombre22;Apellido22;22;0;0;0;0;0;0
Spain;Nombre23;Apellido23;23;0;0;0;0;0;0
Spain;Nombre24;Apellido24;24;0;0;0;0;0;0
Spain;Nombre25;Apellido25;25;0;0;0;0;0;0
Spain;Nombre26;Apellido26;26;0;0;0;0;0;0
Argentina;Nombre1;Apellido1;1;0;0;0;0;0;0
Argentina;Nombre2;Apellido2;2;0;0;0;0;0;0
Argentina;Nombre3;Apellido3;3;0;0;0;0;0;0
Argentina;Nombre4;Apellido4;4;0;0;0;0;0;0
Argentina;Nombre5;Apellido5;5;0;0;0;0;0;0
Argentina;Nombre6;Apellido6;6;0;0;0;0;0;0
